Nome: SAO LUIZ GONZAGA
Codigo Estacao: 83907
Latitude: -28.41722221
Longitude: -54.9625
Altitude: 245.49
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2,9;,1;33,8;27,4;21,4;19,6;92,5;81;5,5;
2015-01-02;,9;5,4;91,5;27;21,6;19;76,3;63;2,1;
2015-01-03;2,5;8,8;,1;30,2;23,5;16,8;68;49;2,4;
2015-01-04;4;11,6;0;33,6;26,5;18,2;56,3;49;1,8;
2015-01-05;5,2;10,3;0;35,3;27,5;19,6;66;53;1,5;
2015-01-06;4,8;10,7;0;35,1;29,1;23,4;66;55;2,9;
2015-01-07;5,4;0;0;32,6;26,1;23,4;82,8;63;2,6;
2015-01-08;2;0;22;26,8;24,5;23;94,8;90;1,9;
2015-01-09;1,3;4,6;8,5;33,2;26,3;22,9;89,8;80;2,2;
2015-01-10;2,8;2,9;1,5;31,5;25,8;23,6;88,5;85;2,9;
2015-01-11;2,1;3;2;31,4;25,4;21,5;84,5;77;2;
2015-01-12;3;7,6;1,4;34;28;22,5;76,8;64;2;
2015-01-13;4,5;9,6;0;36,2;29,9;23,6;65,8;52;2,6;
2015-01-14;5,5;1,2;,2;30,8;25,5;22,9;88;73;2,5;
2015-01-15;1,5;4,6;13;30;24,8;20,7;83;61;2,5;
2015-01-16;3;2,8;0;31,5;24;20,7;86;67;1,9;
2015-01-17;2,5;4,8;11,3;32,6;26,1;21,9;89,5;81;1,6;
2015-01-18;1,6;,9;11,9;32;25;22,3;85;71;2,4;
2015-01-19;2,4;11,4;4,1;35,3;28,7;21,3;69,3;54;1,7;
2015-01-20;3,4;2;35,2;30,2;23,7;20,8;87,8;73;2;
2015-01-21;1,2;10,1;,4;29;22,9;17,4;75,5;63;3,2;
2015-01-22;3,1;11,5;0;30,5;23,6;16,8;70,3;59;3,9;
2015-01-23;4,5;7,6;0;32;26,4;19;72,3;60;2,4;
2015-01-24;3,4;1,6;0;32,1;25,2;21,9;81,3;62;2,9;
2015-01-25;2,7;10,1;66,7;33;26;19,9;76,5;60;2,2;
2015-01-26;3,2;10;0;33,8;28;22,8;68;50;2,5;
2015-01-27;4,2;5,6;0;33,3;26,7;24,2;84,5;69;2,6;
2015-01-28;3,1;3,5;4,1;30,9;25,6;22,8;86,5;79;2,9;
2015-01-29;2,3;2,9;8,7;27,5;23;21,3;84,5;72;2,8;
2015-01-30;2,1;11,5;,1;28,3;21,6;16;72,8;56;3;
2015-01-31;3,5;5,8;0;30,8;23,4;17,4;82,5;67;2;
2015-02-01;2,5;11,5;0;34,7;27,3;19,8;71;54;1,9;
2015-02-02;3,5;10,9;0;36;28,4;22,2;73;55;1,8;
2015-02-03;4;,6;0;30,2;25,3;21,8;88,5;75;2;
2015-02-04;1,5;4,4;10,8;30,1;24,5;21,6;88,8;80;1,8;
2015-02-05;1,5;10;14,3;31,2;24,7;19,6;78;61;2,3;
2015-02-06;3;11,4;0;31,6;24,7;18,1;69,8;54;2,3;
2015-02-07;3,5;11,6;0;31;24,5;18,3;67;51;2,2;
2015-02-08;4;11,5;0;33,4;26,2;19;59;47;2;
2015-02-09;5;11,4;0;35,5;28,9;21,8;61;49;2,1;
2015-02-10;5;3,9;0;33;25,8;22,9;79,5;58;3,7;
2015-02-11;2,4;4,1;17,1;31,1;25,8;22;84,5;71;,9;
2015-02-12;2,2;9,3;0;32,5;26,9;21,2;76,5;65;1,4;
2015-02-13;3,6;6,6;0;33,4;25,3;22;68,5;56;1,9;
2015-02-14;4,1;11,4;0;32;24,9;19,5;73;53;3,2;
2015-02-15;4,3;11,2;0;32;24,8;18,4;70;54;4;
2015-02-16;4,5;7,6;0;31,3;24,8;19,2;65,8;57;3;
2015-02-17;4,8;11;0;33,4;25,2;18;70,5;49;1,7;
2015-02-18;4,5;9,1;0;32,3;26,3;20;65,8;55;2;
2015-02-19;3,9;1,2;,4;27,6;24,4;22,1;85;68;2,3;
2015-02-20;1,5;6,4;,7;27,9;22,5;19,5;82,3;66;1,9;
2015-02-21;2,1;9,9;0;35;24,8;17,5;76,5;55;3,7;
2015-02-22;3;,6;3;26,7;22,5;20,8;91,5;81;3;
2015-02-23;1,2;,6;7,8;26,3;22,6;20;93;90;1,8;
2015-02-24;,8;6,9;3;31;24,5;20,7;84,5;62;2,1;
2015-02-25;2,1;3,5;22,8;32,4;25,1;20,4;74,8;59;2,9;
2015-02-26;5,2;1;0;33,2;26,1;21,1;79,5;66;2,9;
2015-02-27;3;2,7;,1;32,2;25,8;22,2;80,8;64;2,1;
2015-02-28;2,7;10,8;0;32;24,6;19,6;73,5;57;2,3;
2015-03-01;3,9;4,6;0;33;24,3;20,4;78,3;57;2,9;
2015-03-02;2,5;6,5;35,4;31,2;25,1;20;81,8;65;3,1;
2015-03-03;1,5;9,5;2;34,6;28;22,3;70,3;54;2,5;
2015-03-04;3,6;,6;8;28,7;24,3;22,1;95,8;76;3;
2015-03-05;,6;4,2;46,2;30,7;25,5;22,1;84,3;68;1,7;
2015-03-06;1,8;9,2;7,5;32,6;26;20,6;78,5;62;2,2;
2015-03-07;2,6;8,1;0;32,5;25,5;20,5;78,3;62;2,4;
2015-03-08;2,7;10,9;0;34,3;25,8;19,1;75,8;56;1,6;
2015-03-09;3,2;10,8;0;34;25,9;20,1;74,3;54;2,3;
2015-03-10;3,5;10,9;0;32,1;24,8;19,7;75,8;56;2,1;
2015-03-11;2,9;10,8;0;30,9;23,5;18,2;72,3;51;2,5;
2015-03-12;3,2;11;0;31,5;24,2;17,5;67;49;2,2;
2015-03-13;4,3;11;0;33,9;25;17,4;67,3;45;2;
2015-03-14;4;10,3;0;34,5;27,2;21,5;66;51;2,5;
2015-03-15;4,4;10,9;0;35,6;27,6;21,6;69,3;47;1,4;
2015-03-16;4;10,7;0;34,6;26,4;21,1;72;50;2,2;
2015-03-17;4,1;10,8;0;34;24,8;18,6;67,8;51;2,9;
2015-03-18;4;10,7;0;35,5;26,1;17,9;70;48;1,9;
2015-03-19;4,1;10,4;0;35,1;27,8;22,1;66,5;49;2;
2015-03-20;4,4;7,8;,9;34,4;25,4;22,4;71,8;45;2,8;
2015-03-21;3,8;9,8;0;29,9;22,7;20,1;77,3;58;1,9;
2015-03-22;2,9;10,6;0;25,7;17,9;13,4;67,3;43;3,1;
2015-03-23;3,4;10,6;0;29,3;19,7;10,6;69,5;45;1,9;
2015-03-24;3,9;6;0;32,2;23,3;14,5;63,5;39;2;
2015-03-25;4;5,3;0;33;26;20,3;65;46;2,3;
2015-03-26;4,3;0;0;26,9;21,5;19,8;94,8;72;2,4;
2015-03-27;,3;,5;27,6;25,8;21,3;18,2;84,3;74;2,5;
2015-03-28;1,6;0;,1;24,1;20,9;18,5;89;81;,5;
2015-03-29;,4;2,7;,1;26,1;19,7;16,9;94;88;2,7;
2015-03-30;1,5;9,8;12,7;27,6;21;15,6;75,8;55;1,7;
2015-03-31;2,6;10,2;0;30,5;22,7;17;69,5;46;1,9;
2015-04-01;1,4;10,3;0;31;22,7;16,8;61,8;41;1,5;
2015-04-02;6,8;10,3;0;32,7;23,3;15,6;63,5;39;1,4;
2015-04-03;5,4;10,3;0;33,2;25;18,6;58,3;38;2,1;
2015-04-04;5,8;0;0;26;21,1;18,8;89,5;65;2,7;
2015-04-05;1,1;1,3;86,4;22,4;19,4;18,3;94,3;94;1,9;
2015-04-06;,7;9;2,8;26;18,6;14,2;75,8;54;2,9;
2015-04-07;3;9,6;0;25,7;18,7;12,8;60,5;43;3,5;
2015-04-08;4,6;8,9;0;29,2;21,9;15;69;52;2,3;
2015-04-09;4,1;9,9;0;32;24,2;18,2;65,5;46;1;
2015-04-10;4,8;9,9;0;32,4;23,8;17,2;60,3;40;1,8;
2015-04-11;5,7;9,7;0;32,9;23,9;16,4;61,3;43;1,8;
2015-04-12;4,7;6,7;0;32;23;16,9;68,5;43;2,7;
2015-04-13;4,3;6,2;0;31,6;23,6;17,3;70;49;2,4;
2015-04-14;3,8;0;0;24,4;21,8;20,6;92;74;1,5;
2015-04-15;1,3;3,9;3,5;29,5;23,4;18,1;82,5;78;1,3;
2015-04-16;2;9,2;0;30,5;23,4;17,8;70,5;52;2,5;
2015-04-17;4,3;3;0;26,8;21,4;19,2;91,5;72;2,9;
2015-04-18;1,1;4,2;13,1;25,5;19,5;16,6;86,3;71;1,2;
2015-04-19;1,7;7,5;0;29,5;23,1;16,2;76,8;57;2,1;
2015-04-20;2,6;,7;98,5;25;22,1;21,2;92;82;1,3;
2015-04-21;,8;9,3;6,6;27,2;21,1;18,2;76,8;50;3,6;
2015-04-22;2,8;9,6;0;25,5;18,9;15,1;76;57;3,7;
2015-04-23;2,9;4,2;0;25,7;18,6;14,2;85,3;63;2;
2015-04-24;1,7;4,9;0;25;18,1;15;82,3;63;1,9;
2015-04-25;1,6;8,4;0;26,5;19,1;12,7;63,5;48;2,6;
2015-04-26;4;9,9;0;29,4;20,7;13,5;63;50;1,8;
2015-04-27;4;9,9;0;29,9;21,4;15,1;63,3;46;2;
2015-04-28;3,5;10;0;28,5;19,8;14,4;62;38;3,2;
2015-04-29;4,6;9;0;26,6;19,5;14,4;67,3;49;4;
2015-04-30;4,2;3,8;0;27,5;20,5;15,8;72,8;56;1,6;
2015-05-01;2,2;7,1;0;28,8;21,7;15,5;63,8;54;2,1;
2015-05-02;3,4;,7;0;27,3;20,4;17,8;77,8;49;3,7;
2015-05-03;2,7;1,5;55,8;22,6;17,6;16,2;89;77;1,6;
2015-05-04;,9;9,3;2,9;19,8;12,9;8,4;70;50;1,9;
2015-05-05;2,5;9,8;0;23,6;14,6;8,1;65,3;42;1,9;
2015-05-06;2,1;9,6;0;24,6;14,7;8,9;69,5;42;2;
2015-05-07;2,6;7,6;0;20;13,2;7,8;70;51;3,1;
2015-05-08;3,1;5,4;0;24,2;16,9;11,2;74,8;59;3,1;
2015-05-09;2,6;2,1;0;21,7;17,4;15,3;90,5;83;2,1;
2015-05-10;1,1;,8;22,7;23,1;18,1;15,5;89;73;1,8;
2015-05-11;,8;1,6;0;20,5;15,8;14,5;84;69;2,3;
2015-05-12;1,2;8,8;0;22,8;15,8;10,6;79,3;56;3;
2015-05-13;2,5;7,3;0;24,7;18,8;13,4;74,5;62;2,2;
2015-05-14;2,5;2,3;0;23,4;18,8;15,8;75;63;2,4;
2015-05-15;2,2;5,5;0;26,7;21;15,9;73,5;58;1,9;
2015-05-16;2,8;1,6;3,2;22,7;19,4;18,5;90,8;75;2,4;
2015-05-17;,8;6;3,1;26,2;20,4;16,1;81,3;66;2,6;
2015-05-18;2,1;8,2;0;28;22;18;76;58;2,1;
2015-05-19;2,2;9,2;0;28,3;20,7;16,2;78,8;53;2;
2015-05-20;2,3;9,4;0;27,1;21;16,1;69,8;54;2,2;
2015-05-21;3,3;8,9;0;27,5;21,9;17,9;73,3;58;2,9;
2015-05-22;3,2;8,6;0;28,7;22,9;18,2;73;57;2,3;
2015-05-23;3,9;0;0;23,6;21,2;20,2;91,5;77;2,5;
2015-05-24;1;,1;45,4;22,9;20,4;19,4;89,8;83;2,3;
2015-05-25;1;,3;0;22,9;19,4;16,7;84,5;74;3,3;
2015-05-26;1,5;,1;0;21,7;18,7;17,2;93,8;87;2;
2015-05-27;,7;0;53,9;18,3;15,7;14,2;93,8;94;2,7;
2015-05-28;,3;1;7,3;18,5;14,5;13,3;89,8;78;1,5;
2015-05-29;1;5,3;,1;18,8;12,7;8,5;85,5;70;1;
2015-05-30;1,1;7,6;0;21;14,2;8,5;79;59;1,4;
2015-05-31;1,7;6,7;0;21,8;14,8;11,2;76;57;1,7;
2015-06-01;2,2;9,4;0;22,5;14,9;8,4;76,3;49;2;
2015-06-02;1,5;4,5;0;23,3;15,5;9;81,5;69;1,9;
2015-06-03;1,3;6,4;0;27,6;20,2;15,2;79,8;63;3,5;
2015-06-04;2,3;1;0;27,2;22,1;19,4;81;67;2,6;
2015-06-05;1,9;5;0;27,6;22,7;20;72,5;56;3,7;
2015-06-06;3,5;8,9;0;28,1;22,1;18,6;69;49;3,6;
2015-06-07;4,1;8,3;0;29,1;23,1;19;67,5;50;4,1;
2015-06-08;4,5;8,8;0;29,6;23,7;20,1;58;37;3,8;
2015-06-09;5,4;7,8;0;30;23,5;19,6;62;42;4,1;
2015-06-10;5;,2;0;23,5;21,4;20,2;89;63;2,3;
2015-06-11;,8;1;68,1;20,8;14,9;12,3;87,5;81;2;
2015-06-12;1;8,8;1,6;18,1;10,7;5,2;72,8;53;2,2;
2015-06-13;1,9;2,1;0;18,5;13,9;9;90,3;76;2;
2015-06-14;,6;3;17,8;19,6;14,4;12,6;77;61;1;
2015-06-15;1,7;8,9;0;17;9,8;5,6;65;38;1,1;
2015-06-16;2,5;9,1;0;18,4;11,4;6,6;64;46;2,2;
2015-06-17;2,9;0;0;13,7;12,7;10,7;93,8;70;2,1;
2015-06-18;,4;3,3;49,9;14,7;9,5;7,7;83,8;67;2,2;
2015-06-19;1,2;8,6;0;13,8;7,3;2,3;73,3;55;3,3;
2015-06-20;2,1;7,7;0;21,6;14,4;6,1;73;59;2,1;
2015-06-21;2,4;0;0;21,2;18;15,9;85,5;76;1,9;
2015-06-22;1,1;1,2;0;22,6;18,5;16,5;95,8;90;1,4;
2015-06-23;,7;0;27,9;17,9;12,8;11,2;89,3;88;4,5;
2015-06-24;1,1;0;8,1;14,5;12,2;8,5;91,5;86;4,2;
2015-06-25;,6;8,4;1,3;23,7;17,3;12,4;78;63;3,4;
2015-06-26;2,4;7,7;0;23,7;17,5;12,8;74,8;59;2,5;
2015-06-27;2,6;7,8;0;24,5;18,5;14,4;71;57;2,7;
2015-06-28;2,9;3,3;0;22,7;18,1;14,5;78,3;65;2,8;
2015-06-29;2,6;0;12,5;18,6;16,6;15,2;94,8;84;3,6;
2015-06-30;,5;0;77,9;16,6;15;14,4;94,3;89;2,1;
2015-07-01;,3;4,9;,4;18,7;14;11,5;86,3;72;2;
2015-07-02;,9;1,8;0;20,3;16;10,6;86;74;2,8;
2015-07-03;1,2;0;1,2;18,6;13,9;11;91,8;87;3,9;
2015-07-04;,6;4,9;1;12,7;7,5;6;83;62;2,2;
2015-07-05;1,1;9,3;0;17;9,9;3,8;69,3;48;2,6;
2015-07-06;2,4;0;0;18,6;14,2;10;86,5;71;2,5;
2015-07-07;1;0;19,8;19,8;16,6;15;92,3;90;2,7;
2015-07-08;,7;0;5,2;16,2;14,5;13,7;96,8;92;2,1;
2015-07-09;,1;1;13,1;17,2;15;13,8;92,5;84;1,1;
2015-07-10;,7;2;,1;17,5;14,6;11,1;88,5;85;2,2;
2015-07-11;,5;2,3;0;21,7;18;14,1;82,3;71;2,2;
2015-07-12;1,6;0;0;21,2;19,3;18,1;82,3;84;4,6;
2015-07-13;2;,9;,7;25,9;21,2;18,1;84;70;2,9;
2015-07-14;2,2;0;32,2;20,2;13,3;10,9;90,3;83;1,4;
2015-07-15;,2;2,3;,3;16,4;11,7;9,6;79,8;65;2,7;
2015-07-16;1,5;0;0;14,2;11,9;8;91,8;84;2,7;
2015-07-17;,6;0;0;16,7;13,7;12,9;89,5;78;1,7;
2015-07-18;,7;7,5;0;23,8;17,2;10;83,5;68;2,7;
2015-07-19;1,7;6,1;0;28,1;22,6;19,7;67,5;50;3,4;
2015-07-20;4;0;40,3;22,2;15,2;12;94,5;73;2,4;
2015-07-21;,6;,6;13,2;14,2;10,2;8,6;84;69;1,2;
2015-07-22;,7;4,2;0;18,1;11,6;6,6;80,8;68;2;
2015-07-23;1;0;0;14,5;12,1;9,5;93;79;3,6;
2015-07-24;,5;1,4;12;17,7;13,1;10,2;89,8;80;1,2;
2015-07-25;,5;1,2;,2;17,8;13,5;10;86;69;2,6;
2015-07-26;1,1;9,4;0;21,1;15,2;11,2;80,3;64;3,3;
2015-07-27;2,2;9,6;0;24,8;17,1;10,8;70;54;2,6;
2015-07-28;3,6;3;0;25,5;20;15,5;66,5;55;3,7;
2015-07-29;3,9;3,8;0;27,8;22,2;18,5;68,8;54;3,2;
2015-07-30;3,7;8,9;0;28,7;22,6;19,1;62,5;44;3,9;
2015-07-31;5,5;7,8;0;29,1;23;19,1;61,3;51;4,2;
2015-08-01;4,1;1,5;0;27,2;21,6;16,8;69;60;2,5;
2015-08-02;4,4;5,7;0;30,2;24;21,1;54,5;41;4;
2015-08-03;6,3;5,2;0;28,8;23,8;21,1;59,5;45;3,9;
2015-08-04;4,7;2,4;0;26,1;21,3;18,7;83,3;66;3,4;
2015-08-05;2;2,6;6,9;26;20,8;17;75,3;55;4,2;
2015-08-06;4;7,8;0;30,9;24,4;20,7;51,3;38;4,1;
2015-08-07;8,5;5,7;0;31,8;25,9;22;51,8;42;3,6;
2015-08-08;7,3;7,2;0;31,5;25,8;22,9;53,3;41;3,8;
2015-08-09;6,9;9,5;0;31,1;24,6;21,7;52,8;35;3,8;
2015-08-10;8,1;3;0;24,5;20,9;18,8;74,8;58;2,5;
2015-08-11;2,5;4;0;30;23,2;17,3;66,5;53;2;
2015-08-12;4,4;8,2;0;31,3;24,7;20,2;54,3;38;3,3;
2015-08-13;6,5;3,3;0;25,5;20,8;19;78;56;2,3;
2015-08-14;1,8;,8;0;25,8;20,2;17;81,3;54;1,9;
2015-08-15;2,1;0;0;20,4;15,5;14,2;89,5;83;1,3;
2015-08-16;,8;1,1;0;21,8;17,2;12,1;86,8;82;3,3;
2015-08-17;1,7;1,1;0;27,4;21,8;17,1;67;53;2,5;
2015-08-18;4,1;,6;21;23;16,6;14,8;94,5;69;2,9;
2015-08-19;,3;8,5;10,8;23,3;15,8;13,3;77,5;53;1,9;
2015-08-20;2,1;4,6;0;20;14,3;9,1;79,3;60;3,1;
2015-08-21;1,6;9,9;0;25,3;18,2;12,2;69,8;51;3,1;
2015-08-22;4,5;1,9;0;24,7;20,9;16;66,5;58;3,5;
2015-08-23;4,1;4,6;,2;23,5;16,3;13,8;61,5;43;2,8;
2015-08-24;3,1;9,9;0;21,4;13,2;6,6;69,8;49;3,7;
2015-08-25;2;9,4;0;25,8;18,1;9,6;76,3;61;3,2;
2015-08-26;2,5;0;,6;20,6;18,7;17,6;92,3;81;2;
2015-08-27;,5;9,7;24,9;24,6;17,3;13,3;67,8;44;1,3;
2015-08-28;2,9;9,7;0;25,2;18,3;12,3;59,3;41;3,2;
2015-08-29;5,1;3,1;0;27,6;20,8;15;59;52;3,7;
2015-08-30;4,5;10;0;31,6;23,6;17,1;54,3;41;3,1;
2015-08-31;6,4;10;0;34,8;26,7;19,5;51,5;36;3,6;
2015-09-01;6,1;0;0;28,7;17,5;13,5;90;57;4,9;
2015-09-02;1,2;6,8;17,9;24,8;17,4;11,7;74,8;63;3,6;
2015-09-03;2,3;6;0;24;17,1;14,3;78,5;57;2,6;
2015-09-04;1,9;8,6;0;23,1;15,7;10,2;74;49;1,9;
2015-09-05;2,1;9,5;0;22,4;14,5;9,3;73,8;49;2,2;
2015-09-06;2,2;9,9;0;22,8;14,6;8,4;68,8;43;2,1;
2015-09-07;2,9;7,3;0;25,7;17,3;10;70;38;2,7;
2015-09-08;3,3;5,2;,4;25,2;17,7;13,7;69,3;45;2;
2015-09-09;3;10,1;0;26,5;19;11,1;60,5;41;2,8;
2015-09-10;5,1;1,9;0;23,8;18,3;15,9;77,3;58;3;
2015-09-11;2,2;9,6;0;18,4;11,5;7,5;52,3;31;2,6;
2015-09-12;4;10,7;0;20,2;12,2;5,4;51;32;1,5;
2015-09-13;4,7;10,5;0;24;15,8;8,6;42,8;33;2,4;
2015-09-14;5,1;10,5;0;25,8;17,6;10,3;38;21;3,5;
2015-09-15;7,9;8,4;0;31;22,8;14,3;54,8;39;3,8;
2015-09-16;6,3;7;0;34,8;23,6;18,7;63,8;40;5,2;
2015-09-17;5,5;8,3;0;32,3;21,4;15,3;73,5;53;3,4;
2015-09-18;2,9;5,4;0;28,7;20,7;16,9;76,3;58;3,5;
2015-09-19;2,3;0;6,7;20,5;18,9;16,4;97,3;80;3;
2015-09-20;,3;,9;67,7;23,2;20,5;18,6;91;92;2,8;
2015-09-21;1,2;5,9;13,5;31;24,4;18,6;71,8;51;4,5;
2015-09-22;4,5;1,1;0;27,9;24,1;21,2;74,3;70;5,2;
2015-09-23;4,2;4,4;0;34,3;28,2;23,6;56;45;3,7;
2015-09-24;6;0;0;28,6;21,7;19;92,5;61;2,2;
2015-09-25;,7;5,1;1,2;25,4;18,9;16,5;80,5;62;1,6;
2015-09-26;2;0;1;19,5;17;14,1;91,3;83;2,8;
2015-09-27;,5;3,3;2,6;23,5;17,7;14;78,5;64;2,1;
2015-09-28;2;10,8;0;25,8;18,2;10,6;60,8;43;1,5;
2015-09-29;4,3;11,1;0;29,2;20,4;13,6;60,3;38;2,1;
2015-09-30;4,8;8,6;0;28,2;19,3;12,9;64;44;3;
2015-10-01;3,9;9,2;0;30,5;23,5;14,7;59,8;47;3;
2015-10-02;5,9;,3;,1;26,1;20,3;16,4;90,8;60;3,9;
2015-10-03;,4;,3;31;18,6;14;12,5;79;63;2,3;
2015-10-04;1,9;11;0;24,6;15,8;8;58;40;2,9;
2015-10-05;4,3;10,2;0;29,7;21,2;11,4;51,3;36;3,4;
2015-10-06;7,3;8,7;0;33,5;27;20,3;61,5;52;2,8;
2015-10-07;5,8;3;,1;28,3;24;20,3;72,5;65;5;
2015-10-08;3;0;22;22,9;19,9;19;93,3;78;3,4;
2015-10-09;1;0;48,6;19,1;16,2;14,8;96,3;95;4;
2015-10-10;,4;,1;30,1;17,2;14,8;13,8;93,3;85;3,9;
2015-10-11;,6;0;12,8;16,6;14,4;12,8;93,3;88;2,7;
2015-10-12;,5;3,3;,9;19,7;15,4;13;82,3;69;2,5;
2015-10-13;1,4;8,3;,6;25,5;17,8;11,4;75,3;46;3,4;
2015-10-14;3;8,6;,4;32,2;25,4;16,7;66,8;53;4,2;
2015-10-15;5,6;3,9;16,7;28,7;21,7;18,3;81;69;3,2;
2015-10-16;2,5;2,5;,8;22,8;17,8;14,4;65,8;53;2,7;
2015-10-17;2,8;,2;0;19,9;15,2;13,3;68;58;3,8;
2015-10-18;3,2;2,6;0;25;17;9,9;58,5;44;4;
2015-10-19;4,5;3,1;0;33;25,6;15,8;68,5;54;2,8;
2015-10-20;5,5;2,2;0;35,1;28,9;26,5;66,8;57;4;
2015-10-21;4,4;3,8;0;30,6;22,6;18,6;80,3;64;3,1;
2015-10-22;2,4;6,5;3,1;29,9;21,1;17,4;79,8;58;2,8;
2015-10-23;2,4;10,9;0;29;21,1;16,1;55,5;39;4,3;
2015-10-24;5;10,6;0;30;21,2;14;56;32;5;
2015-10-25;7,3;0;1,4;21,3;18,8;15,7;93,5;65;4;
2015-10-26;,5;,2;26,4;23,5;19,8;15,2;93,8;93;1,4;
2015-10-27;,5;4,5;1,6;29,4;23,2;18,5;80;64;1,5;
2015-10-28;2;10,9;0;32;23,7;16,1;65,3;45;2,5;
2015-10-29;4,4;11,3;0;34,3;27,3;20,3;61,3;48;3,2;
2015-10-30;6,1;0;0;28,2;23,2;21,1;84,5;65;2,2;
2015-10-31;1,4;1,4;6,5;26;20,9;19,2;83;66;3,3;
2015-11-01;2,1;7,8;0;28;20,2;15,8;67,8;55;5,4;
2015-11-02;4,3;0;0;24,5;21,1;16,7;78,8;73;2,4;
2015-11-03;1,8;0;,8;22,7;20,7;19,5;94,8;80;1,7;
2015-11-04;,4;0;72;21,2;18,5;17,3;94;94;2,9;
2015-11-05;,5;,1;17,6;21,2;17,5;15,4;88,3;75;3,2;
2015-11-06;1,5;7,4;0;22,5;17,3;11,5;73;62;2,8;
2015-11-07;2,1;10,5;0;28,7;20,2;11,3;65,5;43;2,7;
2015-11-08;3,9;11,7;0;31,3;22,6;15,9;68,8;39;3,3;
2015-11-09;3,7;11;0;34;26,9;18,3;63;49;2,6;
2015-11-10;4,8;1,8;84,8;28,8;23,4;20,8;91;65;4,6;
2015-11-11;1;1;95;26,7;23;20,8;85;78;2,2;
2015-11-12;1,4;2,9;0;30,2;25,3;20,3;73;63;3,5;
2015-11-13;3,1;1;54,2;27,1;22,2;20,6;89,8;76;3,3;
2015-11-14;1,6;9,8;,3;28,5;20,5;15,2;69;50;2,7;
2015-11-15;3,6;7,8;0;31,5;23,5;15;50,3;33;3,5;
2015-11-16;6,7;0;0;26;22,8;20,7;86,8;53;2;
2015-11-17;1,8;3,3;1,7;29,1;24,3;21,2;84,5;84;,8;
2015-11-18;1,9;2;1,2;30;24,7;20,3;76;65;1,5;
2015-11-19;2,6;3,5;0;29,6;21,5;17,7;88,3;73;2,9;
2015-11-20;1,6;2;7,9;20,8;17;15,4;77,8;63;3,3;
2015-11-21;2,3;11,3;0;27,7;20,8;10,9;54;37;2,3;
2015-11-22;5,1;11,2;0;33,1;23,7;15,4;51,8;30;2;
2015-11-23;5,9;1,2;0;31,5;23,3;17,2;61,5;50;3,9;
2015-11-24;5;9,1;0;32,5;23;15,4;64,5;47;3,1;
2015-11-25;4;10,4;0;35,4;26,2;17,2;60,8;41;2,5;
2015-11-26;4,8;0;0;27,4;24;20,1;85,8;67;3,1;
2015-11-27;1,7;0;9,3;23,7;21,6;20,8;93;86;3,6;
2015-11-28;,5;4,5;10,2;29;22,7;20,2;71,3;55;1,7;
2015-11-29;3,2;11,5;0;28,7;21,1;14,7;51;33;2,2;
2015-11-30;5,5;8,5;0;30;22,4;13,2;40,5;27;3,6;
2015-12-01;8,3;,2;0;27,4;22,2;18,1;87,3;44;1,9;
2015-12-02;,9;0;74,9;22,9;21,3;20;93,3;89;1,6;
2015-12-03;,4;7,2;,6;31,1;25,4;19,7;74,3;56;1,5;
2015-12-04;3;,9;64,4;27,1;22,9;20,1;91;77;3,3;
2015-12-05;2;5,8;0;31,5;24,8;20,8;69,5;45;1,4;
2015-12-06;3,9;10,8;0;29,6;22,8;18,3;58,5;37;2,2;
2015-12-07;5;11,7;0;30,2;22,5;14,5;49;34;2;
2015-12-08;5,5;11,5;0;33,5;26,7;17,4;54,8;37;2,1;
2015-12-09;6,1;,3;3,4;29,4;22;18,7;94;65;3,7;
2015-12-10;,5;1,2;41,3;26,8;22,3;19,1;84;71;1,2;
2015-12-11;1,9;10,7;0;31,9;26,6;19,8;63;48;1,6;
2015-12-12;4,3;9,3;0;32,1;27,4;22,6;66;56;3,1;
2015-12-13;4,2;1,9;29,4;28,2;22,4;18,8;87,5;70;3,9;
2015-12-14;1,5;0;77,4;23;20,2;19,2;93;88;5,4;
2015-12-15;,5;7,7;46;29,6;24;18,6;79,3;62;1,5;
2015-12-16;3,3;11,6;0;32;25,9;19,5;55,8;44;3,6;
2015-12-17;6,2;9,1;0;35;29;22,4;63,3;48;3,6;
2015-12-18;6;0;0;30;24,2;20,4;88,8;67;2,2;
2015-12-19;1;0;47,1;25,4;22,3;20,4;87,8;82;3,6;
2015-12-20;1,8;9,4;0;30,4;24,9;17,7;71,5;61;2,9;
2015-12-21;3,4;,5;26,6;27,2;22,5;20;96,3;75;5,1;
2015-12-22;1,3;6,6;99,5;34,3;25,9;20,9;74,8;54;4,6;
2015-12-23;3,2;0;13,3;24,2;22,7;20,6;93,3;84;2,9;
2015-12-24;,4;1,5;189,8;25,4;22;19,8;91,5;90;2;
