Nome: PARNAIBA
Codigo Estacao: 82287
Latitude: -3.08668
Longitude: -41.783139
Altitude: 52.11
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2018-09-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;11,4;7,8;0;32,6;null;23;null;63;4,5;
2015-01-02;5,7;8,8;0;32,7;null;22,7;null;60;3,9;
2015-01-03;8,8;6,6;0;32,3;null;22,9;null;52;3,4;
2015-01-04;6,3;9,4;3,1;32,5;null;21,7;null;71;4,1;
2015-01-05;9,8;9;0;33,2;null;21,7;null;58;5,2;
2015-01-06;6,9;7;0;33,8;null;24;null;58;5,1;
2015-01-07;7,8;7,2;0;33,2;null;24,7;null;61;5,6;
2015-01-08;7,5;10,3;0;32,7;null;24,3;null;57;6,4;
2015-01-09;7,3;10;0;34,7;null;24;null;56;5,5;
2015-01-10;14,2;7,1;0;35,3;null;25,2;null;62;4;
2015-01-11;12,2;9;0;36;null;25,7;null;59;5,8;
2015-01-12;14,7;9,6;0;34,3;null;23,3;null;54;5,6;
2015-01-13;12,3;9,5;0;34,3;null;25;null;54;6,3;
2015-01-14;15,4;3,6;0;34,6;null;25;null;60;5,1;
2015-01-15;14;8;0;33;null;24,5;null;61;5,2;
2015-01-16;8,1;7,9;0;34,8;null;24,3;null;56;5,2;
2015-01-17;12,5;9,1;0;33,3;null;24,9;null;60;5,3;
2015-01-18;13,9;8,3;0;33;null;25,3;null;65;5,7;
2015-01-19;10,2;7,6;9;32,5;null;23,6;null;60;5,2;
2015-01-20;11,6;9,2;,6;34,7;null;24;null;57;5;
2015-01-21;11,5;5,9;0;32,6;null;23,6;null;61;3,8;
2015-01-22;9,3;7,8;1,4;34,1;null;22,5;null;57;4,7;
2015-01-23;12,8;6,1;0;33;null;23,8;null;57;5,6;
2015-01-24;14;6,2;,3;33;null;23,6;null;57;5,2;
2015-01-25;6,7;6,6;0;33,4;null;24,6;null;68;5,3;
2015-01-26;6,2;7,4;0;35,4;null;24,3;null;52;4,7;
2015-01-27;8,5;10,2;0;36;null;22,8;null;55;5,9;
2015-01-28;14,2;10;0;34,8;null;24,5;null;54;6,1;
2015-01-29;12,9;9,8;0;34,7;null;23,3;null;59;4,8;
2015-01-30;14,7;10,1;0;34,4;null;23,1;null;57;5,8;
2015-01-31;13,5;10,1;0;34;null;24,1;null;58;5,8;
2015-02-01;15,4;9,2;0;34,5;null;25,3;null;64;6,2;
2015-02-02;14,5;6,9;0;33,8;null;24,6;null;60;5,3;
2015-02-03;11,4;1,1;0;33,6;null;25,4;null;67;3;
2015-02-04;9,2;5,5;4,1;33,6;null;23,1;null;76;1,2;
2015-02-05;4,2;3,3;3,7;32,2;null;23;null;67;3,2;
2015-02-06;6,6;8;0;33,6;null;24,6;null;61;4,1;
2015-02-07;5,6;6,7;0;33,6;null;23,6;null;55;4,5;
2015-02-08;6,8;7,7;0;34,6;null;25;null;64;5;
2015-02-09;12,4;9,6;0;37,5;null;23;null;50;4,7;
2015-02-10;8;6,4;0;35,6;null;24;null;60;2,8;
2015-02-11;5,7;9,9;0;35,3;null;25,6;null;56;5;
2015-02-12;8;9,2;0;35,2;null;24,3;null;54;5,4;
2015-02-13;7,5;9,3;0;34,5;null;25,5;null;55;5,9;
2015-02-14;7,4;9,7;0;34,2;null;25;null;56;4,6;
2015-02-15;7,2;8,7;0;34,3;null;24,3;null;64;4,6;
2015-02-16;6,5;3,9;0;32,4;null;23,8;null;69;4,3;
2015-02-17;5,1;4,5;0;32,6;null;23,6;null;66;5;
2015-02-18;4,3;4,9;2,6;32,8;null;24;null;65;5,1;
2015-02-19;4,3;,6;3;30,1;null;23;null;92;1;
2015-02-20;1;2,3;19,7;31,4;null;22,2;null;62;3,4;
2015-02-21;4,2;,5;,2;31,6;null;21,6;null;77;2,6;
2015-02-22;2,7;2,3;5,7;32,3;null;22,3;null;83;3,1;
2015-02-23;2,6;1,9;82,2;30,8;null;21;null;92;1,7;
2015-02-24;1,1;3,2;33,2;30,2;null;22,4;null;86;1,1;
2015-02-25;1,8;5,4;16;31,6;null;23,6;null;83;2,1;
2015-02-26;3,7;8,8;3,9;33,8;null;23,1;null;72;4,2;
2015-02-27;4,4;6;0;31,4;null;22,8;null;79;3,9;
2015-02-28;2,2;4,7;16,6;30,8;null;22,5;null;85;2,1;
2015-03-01;2,1;2,9;3,6;29,8;null;23,3;null;77;1,6;
2015-03-02;2,9;5,5;7;31,2;null;23,2;null;78;3,6;
2015-03-03;1,6;5,7;7,6;31,9;null;22,6;null;80;3,2;
2015-03-04;3,3;6,2;0;31,9;null;22,6;null;80;3,4;
2015-03-05;3,3;5,2;0;31,4;null;23,8;null;80;2,6;
2015-03-06;1,9;4;5,8;30,5;null;23,1;null;90;2,5;
2015-03-07;1,7;4,1;2,8;32;null;23,6;null;91;2,9;
2015-03-08;3,2;6,7;11,1;31,6;null;23,5;null;89;3,6;
2015-03-09;1,3;6,4;5,7;31,5;null;22,6;null;87;4,3;
2015-03-10;3;6,1;7,6;31,8;null;24;null;86;3,3;
2015-03-11;1,9;7,4;13,8;32,4;null;24,2;null;80;3,4;
2015-03-12;3,2;4,4;,7;32,9;null;23,5;null;75;2,8;
2015-03-13;3,5;8,5;0;33,5;null;23,9;null;57;4,5;
2015-03-14;4,9;10,1;0;33,5;null;24,1;null;66;4;
2015-03-15;6,2;9,1;0;32,9;null;24,6;null;76;4,2;
2015-03-16;4;5,4;,5;31,5;null;24;null;69;4,1;
2015-03-17;3,2;5,8;,1;32,3;null;25;null;72;3,5;
2015-03-18;4,5;4;,1;32,2;null;25,2;null;57;3,8;
2015-03-19;4,9;7;0;32,8;null;25,7;null;71;4,3;
2015-03-20;2,6;0;,1;30,1;null;24,5;null;78;1,9;
2015-03-21;2,7;2,7;9,8;29;null;23,5;null;81;1;
2015-03-22;1,1;0;29,4;27,4;null;22,7;null;87;2,5;
2015-03-23;,7;,6;,4;28,9;null;23,6;null;78;1,9;
2015-03-24;3,2;6,8;2;33,2;null;23,6;null;57;2,4;
2015-03-25;3,4;3,2;0;30,8;null;23,6;null;79;2,7;
2015-03-26;,8;7,7;13,4;30,8;null;23,2;null;75;2,5;
2015-03-27;1,3;7,7;5,8;30,8;null;24,4;null;76;2,7;
2015-03-28;2,1;8,5;0;31,2;null;23,2;null;74;3,3;
2015-03-29;2,5;8,8;0;30,8;null;24;null;81;3,2;
2015-03-30;1,9;,7;0;30;null;23,8;null;89;1,6;
2015-03-31;1;8;0;30,8;null;23,2;null;74;2,6;
2015-04-01;1,6;4,8;1;31,3;null;24,2;null;76;2,4;
2015-04-02;1,3;5,3;34,2;30,3;null;23,4;null;78;1,5;
2015-04-03;1,2;3,6;6,6;30,1;null;23,5;null;91;2;
2015-04-04;,8;6,5;42;30,3;null;22,8;null;77;2,1;
2015-04-05;2,6;6,9;6,4;30,1;null;24,2;null;83;2,2;
2015-04-06;1,6;10;16;30,4;null;23,2;null;70;2,6;
2015-04-07;2,9;6,4;17,2;29,8;null;23;null;74;2,6;
2015-04-08;1,2;5,5;,2;30;null;23,8;null;79;2,6;
2015-04-09;1,4;4,8;28,2;30,2;null;24;null;78;2,3;
2015-04-10;1,1;null;1,4;28,7;null;24,5;null;85;2;
2015-04-11;1;3,9;4,8;30,8;null;23,8;null;83;1,6;
2015-04-12;1,2;4,1;,4;30,8;null;23,5;null;84;2,3;
2015-04-13;1,1;3,6;8,6;30,6;null;24;null;78;1,9;
2015-04-14;,8;6,5;20,7;31,3;null;23,2;null;72;3,2;
2015-04-15;2,6;3;,1;31,6;null;23,7;null;81;2,4;
2015-04-16;1,3;9,1;11,8;32;null;24,2;null;63;3,2;
2015-04-17;2,8;8,8;0;31,6;null;24,1;null;80;2,4;
2015-04-18;1,9;5,8;4,4;31;null;24,1;null;82;2,9;
2015-04-19;2,8;4,7;1,2;31,3;null;23,5;null;83;3;
2015-04-20;3,1;7,9;,1;31,2;null;24,5;null;77;3,2;
2015-04-21;2,3;5,9;0;30,4;null;24;null;81;3;
2015-04-22;2,1;9,1;0;31,1;null;23,2;null;72;2,8;
2015-04-23;2,2;6,1;0;31,2;null;23,9;null;77;2,9;
2015-04-24;2,3;4,3;2,3;30,6;null;22,8;null;74;1,7;
2015-04-25;1,2;6,1;4,9;31,4;null;23,4;null;79;1,3;
2015-04-26;1,9;9,6;35,5;31,8;null;23,3;null;81;3,4;
2015-04-27;2,8;7,6;0;32;null;23;null;68;3,6;
2015-04-28;2,8;7,7;14;31,9;null;24;null;71;3,6;
2015-04-29;3;6,6;6,8;31,2;null;24,2;null;79;3,2;
2015-04-30;2,2;9,5;0;32,2;null;23,1;null;64;2,7;
2015-05-01;4,7;8,3;0;31,8;null;24,7;null;73;4,1;
2015-05-02;3,1;7,9;0;31,8;null;24,4;null;67;3,5;
2015-05-03;3,5;6,9;0;31,9;null;25,1;null;83;3,4;
2015-05-04;3,1;9,4;0;31,4;null;23,6;null;61;2,1;
2015-05-05;3,7;8,4;0;31,6;null;24,1;null;72;3,4;
2015-05-06;2,8;10;0;31,6;null;24;null;64;2,5;
2015-05-07;2,8;8,2;0;31;null;23,2;null;75;3,7;
2015-05-08;3,5;10;,4;32;null;23,7;null;77;3,4;
2015-05-09;2,7;6,1;1,1;30,8;null;24,6;null;81;2,4;
2015-05-10;2,2;10,2;1,1;32,5;null;23;null;73;2,7;
2015-05-11;4,3;9,8;0;31,9;null;23,8;null;72;4,1;
2015-05-12;3,8;10;0;31,8;null;21,5;null;55;2,6;
2015-05-13;4,2;9,9;0;32,2;null;23,5;null;63;1,9;
2015-05-14;3,5;6,1;0;32,5;null;23,8;null;67;3,4;
2015-05-15;4;10,2;0;32,1;null;23,8;null;63;2,6;
2015-05-16;4,2;9,8;0;32,5;null;22,9;null;62;2,8;
2015-05-17;3,6;4,8;0;32,6;null;24,1;null;76;1,9;
2015-05-18;3,4;9,4;1,3;32,8;null;24,4;null;57;3;
2015-05-19;3,4;8,3;0;32,4;null;23,5;null;66;2,6;
2015-05-20;3,2;10,7;0;31,5;null;24,5;null;71;3,9;
2015-05-21;3,5;9,4;0;32,7;null;23,5;null;71;3,3;
2015-05-22;3,7;9,5;0;32,6;null;23,6;null;72;4,1;
2015-05-23;4,1;5,5;,4;32,5;null;24,2;null;79;2;
2015-05-24;2,5;9,2;2,5;32,5;null;23,3;null;81;1,3;
2015-05-25;3,3;7,9;0;33;null;24,7;null;66;3,5;
2015-05-26;3,6;1,2;0;30,6;null;24;null;76;3,3;
2015-05-27;2,8;5,1;0;31,6;null;25;null;75;3,9;
2015-05-28;3;7,3;0;32,6;null;23,4;null;65;3,2;
2015-05-29;3,8;9,9;1,1;32,5;null;23,9;null;65;3,5;
2015-05-30;5,2;9,3;0;33;null;22,7;null;69;3;
2015-05-31;4,3;5,9;0;32,6;null;24,3;null;87;2,8;
2015-06-01;3,4;7;0;32,6;null;22,4;null;70;2,6;
2015-06-02;3;9,2;0;32,8;null;23,6;null;70;3,5;
2015-06-03;3,1;8,8;0;32,6;null;24,6;null;72;3,6;
2015-06-04;2,9;4,9;1,4;31,2;null;22,5;null;79;2,6;
2015-06-05;2;5,5;7,5;31,7;null;24;null;71;2;
2015-06-06;3,5;7,7;0;32,6;null;22,7;null;59;1,7;
2015-06-07;3;7,3;0;33;null;23,6;null;74;2,1;
2015-06-08;3;8,6;4,7;31,8;null;23,5;null;59;2,7;
2015-06-09;3,7;9,7;0;32,7;null;22,2;null;56;2,4;
2015-06-10;4,4;10;0;33;null;22;null;59;2,6;
2015-06-11;3,4;8,7;,3;33,3;null;23;null;60;,7;
2015-06-12;3,2;7,1;0;32,3;null;23,9;null;62;1,9;
2015-06-13;5,2;9,3;0;33,7;null;24;null;46;3,7;
2015-06-14;6,9;6,8;0;31,8;null;23,7;null;72;4,1;
2015-06-15;4;10;,1;33,6;null;22,4;null;56;3,3;
2015-06-16;5;8,4;0;33,8;null;21;null;63;3,6;
2015-06-17;4,4;8,3;0;33;null;21,2;null;59;1,5;
2015-06-18;3,4;8,1;0;32,7;null;21,6;null;60;1,3;
2015-06-19;4,5;8,7;,1;32,8;null;21,2;null;59;2,7;
2015-06-20;4,4;9,9;0;33;null;22,9;null;64;3,2;
2015-06-21;5,2;6;0;32,7;null;22,2;null;71;3;
2015-06-22;4,6;4,3;0;31,3;null;24,2;null;70;2,9;
2015-06-23;3,6;7,7;0;33;null;22;null;67;2,9;
2015-06-24;3,4;9,5;0;32,1;null;23,5;null;66;4,4;
2015-06-25;7,5;8,3;0;33,4;null;22,4;null;55;3,6;
2015-06-26;4,8;8,4;1,9;33,4;null;23,2;null;46;2,1;
2015-06-27;5,6;7,3;0;32,9;null;21,7;null;58;1,2;
2015-06-28;4;7,8;0;33,5;null;22,2;null;73;2;
2015-06-29;5,3;9,9;0;33,3;null;23,5;null;67;4,2;
2015-06-30;5,7;8,2;0;32,8;null;23;null;65;2,7;
2015-07-01;4,1;5,8;0;33,3;null;23,5;null;71;2,4;
2015-07-02;3,2;9,2;4,6;32,5;null;24;null;65;3,8;
2015-07-03;4,7;2;0;30,6;null;22,9;null;79;3,2;
2015-07-04;1,8;3,9;8,6;31,1;null;22,9;null;82;2,7;
2015-07-05;2,2;2,7;,6;31,2;null;22,3;null;82;2;
2015-07-06;1,6;9,2;37;32,6;null;22,2;null;57;1,7;
2015-07-07;3,5;9,9;0;32,7;null;22;null;63;3,3;
2015-07-08;4,2;9,8;0;32,6;null;22,7;null;67;3,9;
2015-07-09;4,5;9,6;0;32,8;null;22,7;null;61;3,6;
2015-07-10;4,8;9,9;0;33,6;null;22,6;null;64;3,8;
2015-07-11;7,2;9;0;33,2;null;24,2;null;51;3,6;
2015-07-12;7,7;10,5;0;34;null;24;null;69;2,9;
2015-07-13;7;9,8;0;34;null;23,5;null;54;3,6;
2015-07-14;7;9,8;0;34,4;null;23;null;51;3,6;
2015-07-15;6,6;9,9;0;34,6;null;21,5;null;41;2,3;
2015-07-16;8;9,8;0;34;null;20;null;50;2,8;
2015-07-17;2,2;2;5,3;30;null;23;null;66;2,5;
2015-07-18;3,8;9,1;0;32,8;null;22;null;49;1,9;
2015-07-19;5,2;9,3;0;34,2;null;22,2;null;70;2,6;
2015-07-20;6,8;8,3;0;31,8;null;23,3;null;60;2,9;
2015-07-21;5,8;9,8;0;33;null;23,6;null;64;4,5;
2015-07-22;4,8;9;0;33;null;22;null;68;3,5;
2015-07-23;5;8,7;0;33,1;null;23,3;null;56;3,4;
2015-07-24;4,6;8,3;0;33,5;null;22,8;null;59;3,6;
2015-07-25;5,1;9,4;0;31,6;null;23,6;null;65;3,9;
2015-07-26;4,6;9,8;,5;33;null;23;null;68;2,9;
2015-07-27;4,4;9,5;0;34,5;null;23,1;null;60;4,3;
2015-07-28;6;8,1;0;33,6;null;22,2;null;63;3,5;
2015-07-29;4,2;8,5;0;34,2;null;22,8;null;58;2,9;
2015-07-30;4,2;5,8;0;34,4;null;21;null;61;3;
2015-07-31;5,3;9,9;0;34,8;null;20,2;null;56;2,9;
2015-08-01;8,7;8,2;0;35,1;null;20,6;null;41;1,4;
2015-08-02;4,6;9,8;0;35;null;20,5;null;67;2,9;
2015-08-03;4,6;10,1;0;34,5;null;21,8;null;62;2,5;
2015-08-04;4;9,5;0;34,6;null;22;null;53;5,3;
2015-08-05;6,7;9,9;0;34,7;null;22,8;null;54;5,2;
2015-08-06;7;9,3;0;35,6;null;23,8;null;40;3,7;
2015-08-07;7,3;9,5;0;35,2;null;23,3;null;55;5,5;
2015-08-08;6,9;9,6;0;35;null;22,5;null;51;4,2;
2015-08-09;6,4;9,5;0;34,5;null;22;null;69;2,1;
2015-08-10;4,7;9,8;0;34,3;null;23,5;null;56;4,5;
2015-08-11;4,6;9,8;0;34;null;22,5;null;57;3,7;
2015-08-12;4,2;10,1;0;35;null;22;null;52;2,7;
2015-08-13;4,5;9,8;0;34;null;21,3;null;57;3,8;
2015-08-14;4,4;9,7;0;35;null;19,7;null;55;3,2;
2015-08-15;6,3;9,6;0;35,8;null;23;null;54;4,3;
2015-08-16;5,4;9,5;0;37,6;null;21,7;null;75;1;
2015-08-17;5;10,2;0;35,4;null;23;null;54;3,8;
2015-08-18;5,6;10,1;0;34,6;null;22,4;null;57;3,5;
2015-08-19;5;10;0;34,6;null;21,8;null;56;4,1;
2015-08-20;5,1;9,8;0;33,8;null;23,2;null;61;4,3;
2015-08-21;5,4;10;0;34,4;null;22,5;null;58;5,9;
2015-08-22;6,9;8,5;0;34,8;null;24;null;61;5;
2015-08-23;6;9,5;0;34,8;null;24,5;null;66;2,3;
2015-08-24;7,1;9,9;0;34,6;null;23,4;null;59;5,2;
2015-08-25;7,4;10;0;35;null;22,9;null;55;5,3;
2015-08-26;8,2;9,9;0;34,8;null;23,1;null;56;6,3;
2015-08-27;8,7;9,7;0;35,4;null;23;null;58;4,8;
2015-08-28;7;9,4;0;34,7;null;23;null;57;4,1;
2015-08-29;7,8;9,8;0;34,8;null;23,8;null;55;5,8;
2015-08-30;9,5;9,9;0;35,4;null;23,8;null;61;4,5;
2015-08-31;7,6;9,9;0;35,2;null;22,9;null;61;4,6;
2015-09-01;6,4;8,5;0;34,6;null;23,6;null;59;3,7;
