Nome: ENCRUZILHADA DO SUL
Codigo Estacao: 83964
Latitude: -30.54305555
Longitude: -52.52472221
Altitude: 427.75
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2,6;0;0;25,4;21,3;19;87;72;null;
2015-01-02;1,6;6,2;9,9;24,6;19,1;15;63;49;null;
2015-01-03;4;11,7;0;28,3;21,8;15,6;64,8;46;null;
2015-01-04;3,3;12;0;31,4;23,3;16,6;58;36;null;
2015-01-05;5,3;12;0;32,7;24,7;17;50;36;null;
2015-01-06;6;8,9;0;34;27,5;21,7;68,5;53;null;
2015-01-07;3,8;,8;71,4;29,9;23,7;20,4;86,3;74;null;
2015-01-08;1,2;,2;15,8;27,5;22,9;20,6;89,8;75;null;
2015-01-09;,7;3,6;48,6;30,2;24;20,6;90,3;75;null;
2015-01-10;1,3;7,8;8;32,7;26,4;21,8;77,3;57;null;
2015-01-11;2,9;6,1;0;31,1;25,7;20,8;81,8;71;null;
2015-01-12;2,5;11,5;0;32,4;27;22,8;66,8;52;null;
2015-01-13;3,8;10,6;0;33,2;24,8;21,6;77,5;54;null;
2015-01-14;3,6;0;54,8;22,1;21,2;19,8;94;92;1;
2015-01-15;,5;4,4;24,6;27,1;22,1;19,8;82;67;null;
2015-01-16;2;0;1;25,4;22,3;19,4;92,3;89;null;
2015-01-17;2,9;4,1;8,8;30;23,3;21,3;86,3;65;null;
2015-01-18;1,4;9,3;13;29,4;23,5;19,1;77;58;null;
2015-01-19;2,8;11,4;0;33,2;24,2;20,4;73,3;47;null;
2015-01-20;2,6;,2;24,6;26,4;20,8;18,8;87,8;72;null;
2015-01-21;,4;11;6;25,6;20;17,8;75,3;61;null;
2015-01-22;5,1;11,3;0;27,1;20,4;15,8;67,5;52;null;
2015-01-23;3,9;9;0;28,1;21,5;17;73,3;60;null;
2015-01-24;3;6,8;0;30,8;22,3;17,6;77;54;null;
2015-01-25;3,2;8,4;5,8;29,6;23,6;18,2;79;62;null;
2015-01-26;2,4;11,4;0;32,1;25,3;19,3;72,3;50;null;
2015-01-27;3,5;9,5;0;35;25,1;21;77;44;null;
2015-01-28;3,2;1,3;38,8;30,6;24,1;21;89;68;null;
2015-01-29;2,1;4,2;19,6;24,5;19,9;18,6;81,3;64;null;
2015-01-30;2,6;11,5;,8;25,7;19,2;13,6;70;54;null;
2015-01-31;3,8;3,3;0;26,2;20,8;16,5;78,8;65;null;
2015-02-01;2,3;9,3;0;30;23,4;18,3;77;64;null;
2015-02-02;2,3;11,3;0;31,8;24,4;20;77;49;null;
2015-02-03;3,2;10,5;0;31,4;24,2;20;73,3;49;null;
2015-02-04;3,4;9,1;0;29,6;23,7;20,2;74;58;null;
2015-02-05;3;9,2;0;28,9;22,7;19;75,3;54;null;
2015-02-06;2,8;9,8;0;29,7;22,4;18,9;71,5;50;null;
2015-02-07;3,4;11,1;0;28,8;21,4;16,1;71;45;null;
2015-02-08;3,8;11,5;0;30,2;22,7;16,8;68,3;46;null;
2015-02-09;3,6;11,5;0;33,1;25,7;18,6;59,5;39;1;
2015-02-10;4,6;5,6;0;32,9;24,1;20,2;82;60;1;
2015-02-11;2,4;,2;8,4;22,9;21,1;19,8;92,3;90;null;
2015-02-12;,4;11,1;5,2;30,6;24,4;19;72,3;54;null;
2015-02-13;3,2;8,7;0;29,4;22,3;20,1;80,8;53;null;
2015-02-14;2,8;10,8;0;27,6;21,2;17,4;73;56;null;
2015-02-15;3;7,9;0;26,7;21,3;18,2;71,3;55;null;
2015-02-16;2,7;4;0;25,6;20,9;18,1;81;80;null;
2015-02-17;,7;8,1;2;28,4;22;17,6;75,8;62;null;
2015-02-18;2,5;9,8;0;31;23,4;18,3;74;55;null;
2015-02-19;2,9;4,4;0;29,7;23,2;19,8;80,3;62;null;
2015-02-20;1,6;,8;6,8;25,1;20,5;18,4;86;66;null;
2015-02-21;1,6;1,1;0;25,2;21,7;19;87,8;74;null;
2015-02-22;1,4;4,2;0;27;22,9;19,6;80;69;null;
2015-02-23;1,7;5,9;0;30,2;21,7;18,7;86,3;61;null;
2015-02-24;2;6;3,2;30,4;22,8;17,5;81,5;55;null;
2015-02-25;1,9;7,9;0;31,8;23,7;19,4;79;60;null;
2015-02-26;2,1;1,5;52;28,1;21,5;18,5;92,5;84;null;
2015-02-27;,8;6,9;9,6;28,2;21,2;18,3;80;66;null;
2015-02-28;2;9,7;1,2;27,1;20,3;16;71;54;null;
2015-03-01;2,6;5,2;0;27,8;21,9;16,4;69;54;null;
2015-03-02;3,6;4,4;0;28,4;23;19,4;80,3;67;null;
2015-03-03;3,1;10,8;,3;33,1;25,8;21,4;70;50;null;
2015-03-04;4,6;,8;0;27,7;24,3;21,8;80,8;73;null;
2015-03-05;1,8;7,8;0;30,4;24,2;20,8;78,5;58;null;
2015-03-06;2,5;4,9;0;28,8;22,6;19,2;74,8;49;null;
2015-03-07;3,1;10,8;0;29,2;21,7;17,3;67,5;47;null;
2015-03-08;3,3;10,6;0;32;23,4;17,8;77,3;50;null;
2015-03-09;3;9,7;0;30,7;23,9;20,3;76,5;55;null;
2015-03-10;3;9,3;2;27,8;22,2;20;81,8;64;null;
2015-03-11;2,5;10,2;0;28,8;21,6;16,7;77,8;51;null;
2015-03-12;2,8;9,5;0;29;21,8;17,8;77,5;65;null;
2015-03-13;3;6,3;0;29,7;22,4;18,5;81,5;57;null;
2015-03-14;2,3;9,4;0;32;24,6;17,8;76,3;60;null;
2015-03-15;3;5,2;0;31,2;23,4;20;80,3;54;null;
2015-03-16;2,6;10,3;1,6;30,4;22,9;19,2;75;48;null;
2015-03-17;2,8;10,4;0;29,2;21,9;17,6;72;46;null;
2015-03-18;3,1;9,1;0;29,1;21,5;16,6;71,5;52;null;
2015-03-19;3,4;10,6;0;30,2;22,5;17,1;67;50;null;
2015-03-20;3,8;8,8;0;31,2;24;17,4;62,8;48;null;
2015-03-21;4,4;3,8;0;24,6;18,5;16;72,5;60;null;
2015-03-22;3,4;8,9;0;22,5;15,8;10,5;62,3;44;null;
2015-03-23;3,3;7,6;0;25,4;18,4;12,8;77,8;56;null;
2015-03-24;2,2;9,4;0;28,8;21,2;15,1;68;43;null;
2015-03-25;3,1;4;0;29,7;23,5;17,4;64;51;null;
2015-03-26;3,4;0;0;24,6;18,2;16,2;82,3;66;null;
2015-03-27;2,1;4;0;24,8;18,2;14,5;71,5;45;null;
2015-03-28;2,8;2,8;0;24,7;19,1;16;78;61;null;
2015-03-29;2,2;1,8;0;23,2;19,6;16,4;79,3;71;null;
2015-03-30;,5;3,6;26,2;23,8;19,1;17;87;76;1;
2015-03-31;1;6,8;3;25,9;20,5;17;71,5;52;null;
2015-04-01;3,1;9,2;0;27,4;20,3;15,3;69,8;48;null;
2015-04-02;3,2;9,8;0;27,6;21,1;15,8;61,8;46;null;
2015-04-03;4,2;9,6;0;30,2;23;17;55,8;37;null;
2015-04-04;4,6;6,6;0;30;23,8;19,1;64,8;49;null;
2015-04-05;3,3;0;38;24,2;19,4;17,2;90,3;70;null;
2015-04-06;1,5;8,7;6,4;22,6;16,7;14,1;77,5;51;null;
2015-04-07;2,8;8;0;23,2;17;12,4;65,5;50;null;
2015-04-08;3,1;9;0;24,9;19;13;67,3;53;null;
2015-04-09;3,4;8,7;0;28;21,1;16,5;62,8;44;null;
2015-04-10;3,5;9,1;0;29,2;22,3;17,3;59;48;null;
2015-04-11;3,8;9;0;28,7;22;18,2;66,5;41;null;
2015-04-12;2;4,7;0;24,7;19,3;17,6;82,3;64;null;
2015-04-13;3,3;7;0;26;18,9;13,8;79;61;null;
2015-04-14;1,8;8,5;0;28,5;21;16,3;80;56;null;
2015-04-15;2,5;1,2;0;25,4;20,3;18,7;86,3;72;null;
2015-04-16;1,6;1,1;0;23,7;19,5;18,4;88,3;81;null;
2015-04-17;1,8;4,1;0;25,4;19,9;17,2;82,8;69;null;
2015-04-18;1,8;5,6;22,8;22;16;14,1;75,3;53;null;
2015-04-19;4;9;0;26,4;20,2;13,7;67,8;58;null;
2015-04-20;1,8;,1;13,7;24;20,5;19;93;75;null;
2015-04-21;1,1;6;0;22,3;17,1;15,4;78;56;null;
2015-04-22;2,2;8;0;22,7;16,8;12,8;70;52;null;
2015-04-23;2,9;,2;0;21,1;17,2;15,1;88,5;77;null;
2015-04-24;1;4,3;0;23,5;17,7;15,7;85;57;null;
2015-04-25;2,9;5,8;0;24;16,8;12;55,3;34;null;
2015-04-26;4,2;8,7;0;25,9;18,7;13,9;70,5;46;null;
2015-04-27;2,6;8,8;0;25,6;18,9;14,9;68,8;52;null;
2015-04-28;2,5;7,9;0;23,1;16,5;10,6;81;62;null;
2015-04-29;1,9;8,1;0;21;15,5;12,8;67,5;48;null;
2015-04-30;2,6;1,6;3,2;19,8;14,8;12,3;78;64;1;
2015-05-01;1,6;6,7;0;22,1;15,9;12;82,3;63;null;
2015-05-02;1,4;0;0;18;15,7;13,6;92;87;null;
2015-05-03;,6;0;32,6;17,9;15,4;14,2;92,3;79;null;
2015-05-04;,9;8,8;1,3;18,1;11,3;6,8;59;41;null;
2015-05-05;2,6;8,8;0;20,3;13,2;8,2;57;40;null;
2015-05-06;2,6;8,9;0;19;13,3;8,4;59,3;38;null;
2015-05-07;2,7;8,7;0;18,3;11,8;6,9;68,8;46;null;
2015-05-08;2,1;1,4;0;17,8;14;11;70,8;58;null;
2015-05-09;2,1;3,8;0;23,6;17,7;12,9;82;66;null;
2015-05-10;1,6;0;7;18,1;14,7;13,2;97,5;88;null;
2015-05-11;,5;2,6;24,6;19;14,6;12,8;85,8;72;null;
2015-05-12;,6;2,9;3;19,4;14,7;12,5;86,3;72;null;
2015-05-13;1,3;8;0;22;15,8;12,1;80,5;55;null;
2015-05-14;2,2;8,6;0;23,1;17,3;13,2;75;60;null;
2015-05-15;2,4;4,4;0;22,6;18,2;15,6;79,3;70;null;
2015-05-16;1,4;0;0;21,4;17,9;16,6;89,5;82;null;
2015-05-17;1,5;8,3;1,8;26;19,4;16,3;80;64;null;
2015-05-18;1,6;6,3;,1;23,8;17,7;13,3;89,3;69;null;
2015-05-19;1;8,5;0;24,5;19;15,8;81;58;null;
2015-05-20;2,1;8,7;0;24,5;19,3;16,2;80;62;null;
2015-05-21;1,9;7,1;0;25,2;20,2;16,7;74,3;56;null;
2015-05-22;2,4;8,5;0;26,2;20,8;17,3;76,3;60;null;
2015-05-23;2,3;1,2;0;23,6;20,5;18,2;89;82;null;
2015-05-24;1,1;3,5;17,7;20,9;17;15,6;91;79;null;
2015-05-25;1;3,4;,6;20,5;16;13,8;89;74;null;
2015-05-26;,9;0;0;17,2;15,1;13,7;90,8;82;null;
2015-05-27;,2;0;40,6;15,8;13,4;12,1;96;93;null;
2015-05-28;,6;,2;55,2;15;12,8;12;93;90;null;
2015-05-29;,6;5,2;1,4;17,6;12,9;10,2;85,3;65;null;
2015-05-30;1;5,5;0;17,1;12,6;9,9;88,5;75;null;
2015-05-31;,8;5,9;,2;17,8;12,7;9,9;87,5;59;null;
2015-06-01;1,5;3,2;0;19,2;13,1;9,7;77,5;56;null;
2015-06-02;1,6;8,2;0;19,7;13,4;9,2;82,3;61;null;
2015-06-03;1,5;8,2;0;22;15,9;10,4;82;66;null;
2015-06-04;1,7;3,1;0;22,2;18,3;15,9;90,5;79;null;
2015-06-05;,9;,6;0;18,2;17,4;16,6;97,3;92;null;
2015-06-06;,1;5;51,4;23,6;19,3;16,1;80,3;66;null;
2015-06-07;2,7;3;0;22,8;19,1;16,4;80,8;72;null;
2015-06-08;1,3;0;18,4;19,2;15,3;13,3;97,8;84;null;
2015-06-09;0;3,8;39,6;24,4;19,3;14,6;87;69;null;
2015-06-10;,5;0;0;20,8;17;15,1;95,5;87;null;
2015-06-11;,4;1,8;15,4;15,2;10,5;8,6;79,3;71;null;
2015-06-12;1,4;8,4;1,8;14,9;8,1;4,2;74;54;null;
2015-06-13;1,7;7,8;0;17,8;11,2;4,6;86,3;66;null;
2015-06-14;,8;4,6;0;17,2;11,3;9,6;74,8;61;null;
2015-06-15;2,2;8,4;0;12,7;7,7;4,9;57,3;40;null;
2015-06-16;2,8;8,2;0;14,9;9,2;4,2;58;48;null;
2015-06-17;3,4;2,2;0;17,8;11,5;8,2;81,3;58;null;
2015-06-18;1,6;4;24,4;12;7,3;5,5;77,3;53;null;
2015-06-19;1,5;8,3;0;11,8;5,6;1,7;78,3;55;null;
2015-06-20;1,7;8;0;17,3;11,7;5,1;75,8;62;null;
2015-06-21;1,9;,2;,2;16,9;14,5;12,6;89,8;76;null;
2015-06-22;,9;0;1,2;16,7;14,3;13;95,5;91;null;
2015-06-23;0;4,8;24,6;13,2;7,4;5,5;78,3;57;null;
2015-06-24;1,5;0;0;13,8;9,9;4,8;82,3;72;null;
2015-06-25;1,1;8,2;0;19,2;13,7;9,2;75,3;62;null;
2015-06-26;2,2;7,2;0;20,5;15;11,2;73,3;60;null;
2015-06-27;2,2;7,7;0;21,3;15,5;12,2;76,8;57;null;
2015-06-28;2;8,2;0;21,6;15,9;11,8;75;57;null;
2015-06-29;2;,5;0;19,2;15,6;14;85,3;78;null;
2015-06-30;,6;,4;9;17,4;14,8;13,8;93,3;87;null;
2015-07-01;,6;4,9;1,6;15,3;11;9,8;87,3;66;null;
2015-07-02;,8;1,9;0;17,5;12,5;8,4;87,3;74;null;
2015-07-03;,9;0;,6;15,9;11,5;9,5;92,5;91;null;
2015-07-04;1;3,4;2,8;10,5;7,2;6,1;78,3;70;null;
2015-07-05;1,5;8,4;0;15,2;9;4;77,3;62;null;
2015-07-06;1,9;0;0;14,5;12;8,6;78,3;73;null;
2015-07-07;1;0;1,4;14,2;12,3;11,6;95,5;82;null;
2015-07-08;,6;0;0;14,9;12,7;11,4;93,8;87;null;
2015-07-09;,4;,5;7;16,5;13,2;11,8;92;86;null;
2015-07-10;,4;2,9;0;19,6;14,2;11,6;84,5;62;null;
2015-07-11;1;3,3;0;19,9;14,1;11;93,8;85;null;
2015-07-12;,8;0;0;20,2;16,7;13,7;86,5;77;null;
2015-07-13;1,7;0;28,5;17,1;15,6;14,9;98,5;86;null;
2015-07-14;,2;0;44,5;15,5;10,1;8,2;95,8;94;null;
2015-07-15;,3;1,6;4,4;12,5;9,2;6,8;83,3;68;null;
2015-07-16;1;0;,3;11,8;9,9;7,2;93,8;86;null;
2015-07-17;,2;0;14,2;15,5;13,2;11,1;96,8;92;null;
2015-07-18;,4;6,9;19,3;19,2;14;11,2;87,8;68;null;
2015-07-19;1;0;48,6;17,2;15,4;13,2;95,3;92;null;
2015-07-20;,2;0;85,2;16,1;11,6;9,4;96,8;93;null;
2015-07-21;,2;1,5;17,7;13,8;10,1;7,8;87,8;80;null;
2015-07-22;,6;8,2;0;15,4;10,1;6,4;85,5;64;null;
2015-07-23;1,6;,5;0;15,9;11,9;7,8;81;70;null;
2015-07-24;1,4;,8;0;16,5;13,2;11,2;91,3;82;null;
2015-07-25;,4;4,5;0;18,8;14,3;12,1;87,5;70;null;
2015-07-26;1,2;1,3;,3;18,5;13,8;10,4;91,8;76;null;
2015-07-27;,4;2,3;,8;19,4;14;11;91;73;null;
2015-07-28;,9;5,6;,2;23,1;17;12,1;76;56;null;
2015-07-29;2,2;2,6;0;24,7;19,7;16,2;68;54;null;
2015-07-30;2,5;6,4;0;27,9;20,6;16,7;78;49;null;
2015-07-31;2,8;6,5;0;23,8;19,1;15,4;73;60;null;
2015-08-01;3,2;4,6;0;22,4;17,2;14;76,3;61;null;
2015-08-02;2,2;,4;0;24;19,1;14,3;72;59;null;
2015-08-03;3;1,6;0;22,1;17,8;15,8;82;68;null;
2015-08-04;1,2;0;1;17,9;14,6;13,3;89,8;78;null;
2015-08-05;,8;1,3;42,3;20,3;15,6;13,4;92,8;79;null;
2015-08-06;1;4,8;0;26,7;20,6;14,6;67,5;56;null;
2015-08-07;4;2,4;0;27,2;23;18,4;60,8;54;null;
2015-08-08;5,2;6,4;0;30,7;24;16,9;54;42;null;
2015-08-09;5;8,2;0;27,2;22,6;19,6;60,3;51;null;
2015-08-10;5,2;6,9;0;27;20,6;16,6;64;53;null;
2015-08-11;3,8;,2;0;22,6;17,3;13,4;88,5;65;null;
2015-08-12;1,2;6,3;,8;26,4;20,6;15,4;79,8;63;null;
2015-08-13;2,8;2;0;24,4;21,3;18,7;64,8;59;null;
2015-08-14;3;0;0;23,8;20,2;17,4;73,8;68;null;
2015-08-15;2,2;0;0;19,8;15,6;13,8;85,8;73;null;
2015-08-16;1;0;,4;16,8;13,8;11,4;91,8;80;null;
2015-08-17;1;,5;14,2;23,8;19,2;14,2;75,3;64;null;
2015-08-18;2,8;0;0;22,1;17,2;14,7;89,8;71;null;
2015-08-19;,5;1,9;10;16,6;12;9,3;90,8;79;null;
2015-08-20;1,1;2;0;16,7;12,9;10,2;82,8;69;null;
2015-08-21;1,6;8,6;0;21,7;16,1;11;74,3;57;null;
2015-08-22;3;,2;0;20,8;16,5;13,6;84,3;72;null;
2015-08-23;1,6;7,8;21;18,6;13,1;11,4;63,8;37;null;
2015-08-24;4,5;8;0;17;10,4;5,7;73,3;55;null;
2015-08-25;2;1,8;0;20,6;14,4;10,2;83,8;63;null;
2015-08-26;1,5;0;0;16,2;15,3;13;94,8;88;null;
2015-08-27;,4;8,5;7,4;20,6;14,3;10,9;58,3;41;null;
2015-08-28;4,7;8,1;0;19,8;13,9;8,4;55,3;44;null;
2015-08-29;4,7;5,2;0;24,4;18;12,8;61,5;44;null;
2015-08-30;4,6;9,2;0;28,2;21,6;16,1;61,5;44;null;
2015-08-31;4,4;7,6;0;29,7;24;18,9;57;40;null;
2015-09-01;4,6;3;1,5;25;12,9;9,6;78,5;56;null;
2015-09-02;2,2;7,9;0;19,7;13,4;8,4;71,5;53;null;
2015-09-03;2,2;5,2;0;21,6;14,8;11,8;80,8;58;null;
2015-09-04;2;4;0;18,6;13;10,6;81,3;58;null;
2015-09-05;1,3;2,2;0;16,2;12;10,4;88,5;80;null;
2015-09-06;1,1;6,1;0;19,4;12,9;9,4;78;49;null;
2015-09-07;1,8;8,7;0;21,8;14,4;7,2;75,3;47;null;
2015-09-08;2,4;2,6;0;21,7;15,3;10,4;72,3;50;null;
2015-09-09;3,2;7,6;0;23;16,6;11;63,3;49;null;
2015-09-10;3,4;,9;0;18;13,3;10,3;88,3;67;null;
2015-09-11;,9;9,6;10,8;15,1;7,9;5,7;54;31;null;
2015-09-12;4,8;9,8;0;14,8;8,2;1,2;53;43;null;
2015-09-13;3,9;9,6;0;19,7;12,5;5,1;51,3;37;null;
2015-09-14;4,7;9,9;0;22,5;15,5;9;43;31;null;
2015-09-15;5,8;6,8;0;24,5;18,6;11,2;58,8;45;null;
2015-09-16;4,5;0;21,2;21,1;14,8;11,8;93;62;null;
2015-09-17;,5;0;5,3;18,4;13,9;11,1;93,8;84;null;
2015-09-18;,5;0;7,1;15,4;13,3;12;96,3;93;null;
2015-09-19;1;0;0;15,2;13,8;12,8;97;96;null;
2015-09-20;,1;0;14,2;15,8;14,7;12,9;97,5;95;null;
2015-09-21;,1;0;39,4;19,5;17,4;14,9;93,5;97;null;
2015-09-22;,6;0;55,2;18,6;17,7;16,4;88,8;89;null;
2015-09-23;,4;2,4;25;25,1;18,9;16,2;90;70;null;
2015-09-24;1,1;0;26,2;21,4;19,8;18,1;96,8;96;null;
2015-09-25;,5;4;10,7;22,4;16,7;14,5;87;69;null;
2015-09-26;1,5;1,1;0;20,8;16;13,2;88;70;null;
2015-09-27;1,3;4,3;,2;21,5;15,8;13,6;80,3;53;null;
2015-09-28;2,5;10,7;0;22,2;15,3;9,2;55,3;40;null;
2015-09-29;4;3,3;0;23,2;16,7;12,3;65;50;null;
2015-09-30;3,5;8,4;0;22,1;14,2;10,1;67,8;45;null;
2015-10-01;3;10,4;0;25;16;9,2;72,3;48;null;
2015-10-02;2,6;0;0;19,6;17,3;15,4;86,3;83;null;
2015-10-03;1,2;1,5;9,4;16,7;11,1;9,2;70,3;53;null;
2015-10-04;2,4;10,9;0;18,4;11,5;5;69;49;null;
2015-10-05;2,7;9,4;0;21,9;14,2;8,4;70;47;null;
2015-10-06;3;6,2;0;25,8;19,9;12,8;76;68;null;
2015-10-07;2,9;0;36,2;22;18,3;17;98,5;81;null;
2015-10-08;,2;0;91,6;17,6;17;16,6;99,3;99;null;
2015-10-09;,2;0;40,6;17;13,1;11,8;97;96;null;
2015-10-10;3;0;15,2;13,9;12,4;10,4;97;95;null;
2015-10-11;,3;0;20,8;14,6;12,4;10,6;95,8;91;null;
2015-10-12;,4;3,5;2;19;14;12;85,8;71;null;
2015-10-13;1,4;8,6;,5;21,6;14,6;9,2;67,3;51;null;
2015-10-14;2,4;4,8;0;25,4;18,5;11,8;84;66;null;
2015-10-15;2;3,3;25,8;23,4;19,1;17,6;89,5;74;null;
2015-10-16;1,8;11,4;,3;21;14,6;10,4;65;40;null;
2015-10-17;3,5;3,8;0;16,8;11,3;9,3;70,8;52;null;
2015-10-18;2,3;7,4;0;19,8;11,6;4,7;71,5;44;null;
2015-10-19;2,4;0;,3;17,8;14,7;10,4;90,8;85;null;
2015-10-20;1;4,7;6,9;27,8;21,1;15,2;82,5;67;null;
2015-10-21;2;7;,4;22,9;16;13,4;80;59;null;
2015-10-22;1,6;2,2;17,8;21,8;16,4;12,8;87,8;71;null;
2015-10-23;1,2;9,3;0;23,4;16,2;13,6;76;46;null;
2015-10-24;2,9;5,2;0;19,2;13,4;11,8;78,3;52;null;
2015-10-25;2,1;0;0;18,4;14,6;10,2;83,3;76;null;
2015-10-26;1,4;,4;0;23,9;18,3;11,8;84,3;72;null;
2015-10-27;2,3;6,1;0;26,2;19,3;15,4;83,8;62;null;
2015-10-28;,5;6,2;0;26;19,7;17,2;83,5;65;null;
2015-10-29;2,1;11,7;0;29,9;22,9;15,4;70,3;51;null;
2015-10-30;4,2;0;0;26,4;20,9;19;83;72;null;
2015-10-31;1,8;0;28,4;24,2;16,6;13,8;92,8;91;null;
2015-11-01;,9;5,3;,3;19,6;15,1;11,9;80,3;73;null;
2015-11-02;2;0;0;17,2;15;13,1;91,3;87;null;
2015-11-03;,6;0;1,3;21,3;18,1;14,6;82,3;78;null;
2015-11-04;1;0;,2;17,9;15;13,8;94;85;null;
2015-11-05;,6;,3;25,2;17,2;14,2;12,9;83,8;68;null;
2015-11-06;1,4;11;0;22,2;15,8;11,2;58,8;39;null;
2015-11-07;4,7;12,1;0;24,2;17,2;11,8;62,3;38;null;
2015-11-08;3,8;11,2;0;27,9;20,3;14,2;74;51;null;
2015-11-09;2,7;10,9;0;29,9;23,2;16,8;69,3;51;null;
2015-11-10;3,7;0;17,8;24;20,1;17,2;96,3;74;null;
2015-11-11;,3;0;13,2;26,6;20,4;17,8;86,5;69;null;
2015-11-12;1,6;2,3;0;24,3;20,1;17;83;74;null;
2015-11-13;1,2;2,4;4,8;26;20,8;17,8;81;76;null;
2015-11-14;2,9;6,1;0;22,8;17,4;15;67,3;56;null;
2015-11-15;3,3;10,2;0;26;17,8;11,4;69,5;49;null;
2015-11-16;4,3;,1;0;25,8;19,1;13,5;78;66;null;
2015-11-17;2,1;0;2,6;22,1;19,3;16,4;89;86;null;
2015-11-18;,4;1,7;10,8;25,3;21,3;18,4;79;64;null;
2015-11-19;1,9;3,9;0;27,8;20,3;16,3;81,5;74;null;
2015-11-20;1,9;6,3;24;18,8;14,7;13;79;62;null;
2015-11-21;2,8;10,9;0;22,5;16,6;13,1;70,8;47;null;
2015-11-22;3;11,6;0;26,1;18,4;12,1;66,3;42;null;
2015-11-23;4,3;10,6;0;23,3;17,1;13,1;67,8;46;null;
2015-11-24;3,4;1,4;0;21,5;16,8;12,4;74,8;72;null;
2015-11-25;2,7;1,7;0;20,9;17,7;15,1;85,5;75;null;
2015-11-26;1,6;,3;0;25,2;20,7;16,4;82;72;null;
2015-11-27;2;1,2;0;25,1;21,9;17,8;90;78;null;
2015-11-28;1;6,4;8,4;26,6;21,2;18,9;69;45;null;
2015-11-29;4,4;11,7;0;25,4;18,8;13,3;46,5;30;null;
2015-11-30;6,3;11,2;0;24,6;18,5;12,7;47,5;37;null;
2015-12-01;5,7;5;0;27,6;20,1;12,4;72;49;null;
2015-12-02;2,6;0;1,4;23,8;19,6;17,4;82;68;null;
2015-12-03;1,9;4,4;,4;28;21,1;17,1;78,5;62;null;
2015-12-04;1,7;2,3;36,4;24,4;20,6;17,3;92,5;81;null;
2015-12-05;1,1;11,4;29,4;25,2;19,8;17,6;72;60;null;
2015-12-06;3,8;10,2;0;25,4;18,6;14,2;59;42;null;
2015-12-07;4,8;11,8;0;25,4;18;12;65;42;null;
2015-12-08;4,2;11,8;0;30,6;21,8;12,7;62,5;44;null;
2015-12-09;4,6;,5;1,3;26,4;20,4;17,8;93,3;77;null;
2015-12-10;,8;11;33,4;28;21,4;16;62;46;null;
2015-12-11;4,8;11,6;0;30,2;24,2;17,2;53;38;null;
2015-12-12;6,8;11,4;0;33,2;27,1;20,7;58;46;null;
2015-12-13;4,8;,9;19;27,2;21,3;17,3;86,3;67;null;
2015-12-14;1,4;,9;2,4;23,6;21;19,1;89;76;null;
2015-12-15;1,4;6,9;,1;28,2;21,7;18,2;69;57;null;
2015-12-16;3,6;12;0;27,6;20,4;15,4;66,3;48;null;
2015-12-17;4,1;3,9;0;30,6;24,5;16,7;72,3;64;null;
2015-12-18;2,7;0;,8;25,4;21;19,1;96;77;null;
2015-12-19;,8;0;42,3;23,2;18,4;16,9;80,3;67;null;
2015-12-20;2,7;5,6;0;24,3;18,8;13,6;74,5;64;null;
2015-12-21;2,5;2,2;0;24,8;21,4;16,6;80;68;null;
2015-12-22;1,6;0;2,3;21,3;19,8;18,6;97,5;86;null;
2015-12-23;,2;0;112;24,4;21,3;19;97,3;98;null;
2015-12-24;,4;0;45,8;22;20,2;19,4;96,3;94;null;
2015-12-25;,4;0;19,6;24,5;20,3;18,6;90,3;84;null;
2015-12-26;1,2;,1;0;24,8;21,1;18,1;90,5;78;null;
2015-12-27;1;4,9;0;30,4;23,4;18,1;82,5;62;null;
2015-12-28;2,5;7,5;0;31,1;24,5;20;73,8;54;null;
2015-12-29;2,7;3,6;0;30,4;25,1;20,8;78,3;62;null;
2015-12-30;2,4;,4;0;28,2;25,2;22,8;86,8;76;null;
2015-12-31;1,4;5;2,5;27,8;21,8;19,7;85,8;69;null;
2016-01-01;1,6;,5;1;24,6;21,1;19;81,5;76;null;
2016-01-02;2;0;0;26,2;21,4;18,3;81,3;72;null;
2016-01-03;2;7,8;0;28,8;22,8;18,6;74;60;null;
2016-01-04;2,8;7,3;0;30,5;24,6;18,7;71,5;55;null;
2016-01-05;4,6;0;,2;25,5;22,9;21,6;86,3;74;null;
2016-01-06;1,1;4,1;12,8;31,1;24,9;21,6;87,5;74;null;
2016-01-07;1,6;3,4;2;27,3;21,6;19,8;83,3;64;null;
2016-01-08;2,1;2,4;0;26,1;20,4;16;77,8;65;null;
2016-01-09;2,3;0;0;23,5;20,6;18,1;89,3;82;null;
2016-01-10;,9;5,6;0;30;24,6;19,2;79,3;65;null;
2016-01-11;2,5;7,3;0;30;24;21,2;81,3;65;null;
2016-01-12;2,5;10,8;0;32,2;25,8;19,4;65;48;null;
